iter	Passed	Remaining
0	4	4840
1	7	3736
2	9	3180
3	11	2835
4	13	2592
5	14	2441
6	16	2329
7	29	3706
8	33	3697
9	36	3614
10	38	3489
11	40	3358
12	42	3223
13	44	3128
14	46	3034
15	48	2961
16	49	2888
17	51	2827
18	53	2769
19	55	2716
20	57	2663
21	58	2619
22	60	2582
23	62	2543
24	64	2512
25	66	2481
26	68	2454
27	69	2426
28	71	2399
29	73	2373
30	75	2349
31	77	2331
32	78	2309
33	80	2292
34	82	2272
35	84	2258
36	86	2242
37	87	2224
38	89	2209
39	91	2199
40	93	2183
41	95	2173
42	97	2159
43	98	2146
44	100	2133
45	102	2121
46	104	2111
47	105	2098
48	107	2086
49	109	2079
50	111	2068
51	112	2059
52	114	2048
53	116	2038
54	118	2033
55	120	2024
56	121	2015
57	123	2008
58	125	2000
59	127	1993
60	128	1985
61	130	1980
62	132	1973
63	134	1967
64	136	1960
65	138	1954
66	139	1947
67	141	1942
68	143	1934
69	145	1929
70	146	1923
71	148	1917
72	150	1911
73	152	1905
74	154	1900
75	155	1895
76	157	1891
77	159	1885
78	161	1881
79	163	1875
80	164	1871
81	166	1866
82	168	1862
83	170	1857
84	172	1853
85	173	1848
86	175	1844
87	177	1839
88	179	1835
89	181	1831
90	182	1826
91	184	1821
92	186	1818
93	188	1813
94	190	1810
95	191	1806
96	193	1802
97	195	1797
98	197	1795
99	199	1791
100	200	1787
101	202	1784
102	204	1781
103	206	1776
104	207	1771
105	209	1769
106	211	1764
107	213	1761
108	214	1757
109	216	1754
110	218	1750
111	220	1747
112	222	1744
113	224	1741
114	225	1738
115	227	1735
116	229	1731
117	231	1728
118	233	1726
119	234	1722
120	236	1719
121	238	1718
122	240	1716
123	242	1712
124	244	1709
125	246	1706
126	247	1703
127	249	1699
128	251	1696
129	252	1692
130	254	1688
131	256	1686
132	258	1684
133	260	1680
134	261	1678
135	263	1675
136	265	1672
137	267	1670
138	269	1667
139	270	1664
140	272	1661
141	274	1658
142	276	1655
143	277	1652
144	279	1649
145	281	1646
146	283	1643
147	284	1640
148	286	1638
149	288	1634
150	290	1631
151	291	1628
152	293	1625
153	295	1622
154	297	1620
155	298	1617
156	300	1614
157	302	1611
158	304	1608
159	306	1606
160	307	1604
161	309	1601
162	311	1599
163	313	1598
164	315	1596
165	317	1593
166	319	1591
167	320	1588
168	322	1586
169	324	1583
170	326	1581
171	327	1578
172	329	1576
173	331	1574
174	333	1572
175	335	1569
176	337	1567
177	338	1564
178	340	1562
179	342	1559
180	344	1557
181	345	1554
182	347	1552
183	349	1550
184	351	1548
185	352	1544
186	354	1542
187	356	1539
188	358	1537
189	360	1535
190	361	1532
191	363	1530
192	365	1527
193	367	1525
194	369	1523
195	370	1521
196	372	1518
197	374	1515
198	376	1513
199	377	1511
200	379	1509
201	381	1506
202	383	1504
203	384	1501
204	386	1499
205	388	1497
206	390	1495
207	392	1492
208	393	1489
209	395	1487
210	397	1485
211	399	1483
212	400	1480
213	402	1478
214	404	1476
215	406	1474
216	407	1471
217	409	1469
218	411	1466
219	412	1464
220	414	1462
221	416	1460
222	418	1457
223	420	1455
224	421	1453
225	423	1451
