ID,Day,Weather,Wind Speed,Cloud Cover,Active Number,Average Radius,Air Density,Average Elevation,Dew Point,Turbine Sweep Area,Average Active Time,Temperature,Relative Humidity,Viscosity,Pressure,Pitch,Hindrance,Power Coefficient,Average Turbine Efficiency,Obtained Electricity
train_00000,Saturday,cloudy,11.58,84.51,4.0,,1.549,22.16,15.8,6457.79465,23.0,25.8,25.0,395.0,21.43,5.0,No,1.6500000000000001,33.0,844.882
train_00001,Thrusday,haze,,16.67,,40.41,2.495,10.0,14.8,5127.519834,24.0,19.0,,1169.2,31.56,7.0,Yes,2.73,39.0,3078.817
train_00002,Saturday,windy,18.6,41.39,3.0,49.42,1.74,,6.300000000000001,7668.936296000002,24.0,22.3,10.0,63.00000000000001,26.32,3.0,Yes,1.1400000000000001,38.0,1215.153
train_00003,Friday,clear,3.98,,3.0,46.23,,23.05,10.400000000000002,6710.848505999998,21.0,29.6,2.0,20.800000000000004,24.87,3.0,No,1.02,34.0,341.578
train_00004,Sunday,cloudy,9.38,90.35,7.0,48.37,1.428,30.33,13.200000000000001,7346.522666,21.0,28.8,11.0,145.20000000000002,28.87,9.0,No,3.2399999999999998,36.0,1657.317
train_00005,Friday,overcast,8.02,68.17,7.0,46.12,1.449,23.93,13.499999999999998,6678.950816,20.0,26.9,33.0,445.49999999999994,22.8,8.0,Yes,3.04,38.0,1084.977
train_00006,Sunday,rainy,8.94,91.43,5.0,,1.716,2.22,10.0,4832.437706,20.0,20.0,50.0,500.0,,,Yes,2.64,33.0,364.236
train_00007,Monday,cloudy,8.1,74.38,8.0,48.63,,21.95,15.200000000000001,7425.713466000001,22.0,28.8,16.0,243.20000000000002,22.51,,Yes,2.31,33.0,1071.193
train_00008,Saturday,windy,27.8,31.86,7.0,45.89,1.705,25.02,2.599999999999998,6612.501194,24.0,19.4,8.0,20.799999999999983,36.79,1.0,No,0.46,46.0,5002.545
train_00009,,windy,28.0,17.71,8.0,,1.516,24.33,7.0,7084.625,22.0,21.0,15.0,105.0,27.59,11.0,Yes,5.5,,4662.481
train_00010,Monday,cloudy,,94.85,,,1.545,22.42,10.9,6529.1904,22.0,22.5,21.0,228.9,23.43,3.0,Yes,0.8999999999999999,30.0,880.897
train_00011,Monday,overcast,7.88,55.91,15.0,36.26,1.526,4.05,,4128.433064,24.0,,34.0,652.8,14.27,10.0,,3.5,35.0,1206.162
train_00012,Monday,rainy,13.5,91.68,7.0,40.41,1.547,9.29,10.099999999999998,,18.0,20.9,46.0,,24.37,,Yes,3.8,38.0,998.169
train_00013,Tuesday,haze,11.37,21.65,15.0,45.11,2.212,27.15,17.3,6389.623994,19.0,21.1,,1401.3,29.21,11.0,No,3.8499999999999996,35.0,6736.707
train_00014,Friday,cloudy,11.09,75.37,6.0,35.96,,6.47,,4060.401824,21.0,27.1,21.0,325.50000000000006,25.83,4.0,Yes,1.24,31.0,564.704
train_00015,Tuesday,windy,18.66,37.02,,,1.575,12.44,8.100000000000001,4229.234600000001,23.0,22.1,,121.50000000000003,28.21,,No,0.37,37.0,2161.138
train_00016,Tuesday,clear,6.7,1.83,5.0,44.47,1.497,9.3,,6209.604025999999,20.0,23.9,1.0,4.299999999999997,21.42,4.0,Yes,1.28,32.0,490.991
train_00017,Wednesday,,3.44,23.24,11.0,37.69,2.251,9.14,18.0,,23.0,,74.0,1332.0,20.11,6.0,Yes,2.16,,1166.048
train_00018,Monday,windy,16.26,43.77,8.0,37.84,,10.14,7.200000000000001,4496.057984000001,24.0,18.8,21.0,151.20000000000002,41.93,,No,3.8,38.0,1993.116
train_00019,Saturday,haze,,29.28,14.0,42.36,2.303,11.93,20.0,5634.320544,24.0,21.8,91.0,1820.0,27.29,1.0,Yes,0.35,35.0,3440.223
train_00020,Friday,windy,22.74,13.48,3.0,42.02,1.765,16.57,11.299999999999999,5544.2364560000005,22.0,23.7,19.0,214.7,,4.0,No,1.56,39.0,1441.675
train_00021,Saturday,windy,15.26,40.28,7.0,35.93,1.669,8.85,10.8,4053.629786,22.0,20.8,25.0,270.0,29.14,3.0,No,0.8999999999999999,30.0,1193.523
train_00022,Thrusday,windy,24.17,28.53,3.0,,1.679,5.98,13.399999999999999,,24.0,23.4,25.0,334.99999999999994,27.6,2.0,No,0.76,38.0,891.764
train_00023,Tuesday,haze,3.92,13.06,,39.95,2.49,2.48,16.4,5011.4478500000005,24.0,20.8,78.0,1279.1999999999998,25.46,9.0,No,,37.0,1479.49
train_00024,Friday,cloudy,10.13,79.03,8.0,45.5,1.398,35.53,11.3,6500.585,20.0,21.3,25.0,282.5,24.95,9.0,No,3.42,38.0,3598.506
train_00025,Saturday,haze,,19.6,7.0,37.84,2.019,12.78,22.0,4496.057984000001,19.0,23.8,91.0,2002.0,26.98,4.0,No,1.52,38.0,2470.366
train_00026,Tuesday,cloudy,12.06,77.2,6.0,42.88,1.328,,8.6,5773.500416000001,,20.2,21.0,180.6,21.75,7.0,No,2.31,33.0,474.243
train_00027,Wednesday,windy,22.26,34.21,6.0,47.79,1.715,33.41,7.699999999999999,,,24.5,8.0,61.599999999999994,24.58,4.0,,,38.0,4739.595
train_00028,Wednesday,rainy,11.77,98.99,4.0,43.1,1.437,3.95,13.0,5832.8954,20.0,24.0,45.0,585.0,,5.0,Yes,,,375.648
train_00029,Saturday,overcast,7.65,54.69,,45.92,1.542,34.51,23.700000000000003,,24.0,35.7,40.0,948.0000000000001,,6.0,Yes,1.92,,4039.425
train_00030,Tuesday,rainy,16.62,97.04,4.0,,1.968,23.52,13.100000000000001,7301.028775999999,19.0,22.1,55.0,720.5000000000001,22.52,2.0,No,0.6,30.0,1318.673
train_00031,Monday,haze,9.25,15.11,10.0,49.27,2.459,28.3,18.4,,24.0,21.2,86.0,1582.3999999999999,24.5,8.0,No,2.88,36.0,4850.013
train_00032,Tuesday,clear,16.54,3.23,5.0,47.62,1.034,35.9,6.899999999999999,7120.466216,20.0,26.5,1.0,6.899999999999999,20.34,,Yes,0.3,30.0,3656.771
train_00033,Sunday,clear,6.77,4.36,3.0,39.64,1.388,11.33,11.0,4933.9749440000005,20.0,27.0,10.0,110.0,27.37,7.0,Yes,2.73,39.0,396.395
train_00034,Tuesday,clear,12.46,9.92,5.0,,1.001,6.36,9.100000000000001,6015.652506000001,20.0,25.1,10.0,91.00000000000001,22.67,,Yes,1.52,38.0,636.99
train_00035,Wednesday,clear,12.83,3.84,5.0,,1.456,16.8,6.0,5158.018026000001,21.0,,9.0,54.0,28.19,1.0,,0.37,37.0,1754.039
train_00036,,clear,3.94,,4.0,41.11,1.407,,,,24.0,28.1,8.0,90.4,22.98,6.0,Yes,1.7999999999999998,30.0,254.565
train_00037,,haze,4.47,30.11,12.0,45.27,,22.87,,,18.0,23.4,95.0,2128.0,25.9,3.0,,0.96,32.0,1953.323
train_00038,Monday,rainy,11.75,93.29,,39.9,1.969,16.19,15.3,4998.9114,16.0,20.1,76.0,1162.8,27.21,4.0,No,1.24,31.0,837.212
train_00039,Tuesday,,16.31,5.1,3.0,,1.492,4.62,10.100000000000001,3892.7964740000007,23.0,27.3,7.0,70.70000000000002,20.0,4.0,Yes,1.4,35.0,765.728
train_00040,Monday,,10.48,89.68,5.0,42.55,1.526,5.63,14.899999999999999,5684.977849999999,24.0,25.7,23.0,342.7,,8.0,Yes,,35.0,507.3
train_00041,Monday,haze,10.62,21.64,10.0,45.58,2.217,31.66,18.2,6523.464295999999,,22.2,,1456.0,27.7,11.0,Yes,,,6293.868
train_00042,Thrusday,windy,18.89,37.64,8.0,48.08,1.642,35.71,7.899999999999999,7258.695296,24.0,23.9,,78.99999999999999,28.36,2.0,Yes,0.68,34.0,5511.233
train_00043,Saturday,,6.69,43.73,15.0,46.26,,18.45,16.2,6719.561064,23.0,29.4,34.0,,22.57,9.0,No,3.33,37.0,1724.583
train_00044,Friday,windy,27.49,11.3,7.0,46.39,1.6,23.57,15.200000000000001,,22.0,23.6,29.0,440.8,27.75,8.0,Yes,3.6,45.0,3763.819
train_00045,,rainy,9.24,,4.0,47.58,1.488,27.4,13.6,7108.509095999999,20.0,21.2,62.0,,24.48,4.0,Yes,1.4,35.0,879.628
train_00046,Thrusday,clear,3.82,4.8,5.0,,1.348,24.71,3.1999999999999993,6977.643944,22.0,,5.0,15.999999999999996,25.24,8.0,Yes,,35.0,635.895
train_00047,Sunday,haze,8.09,17.14,14.0,47.96,2.159,19.44,16.0,,22.0,,82.0,1312.0,42.3,10.0,Yes,,,4075.972
train_00048,Wednesday,clear,12.76,6.68,,45.89,1.438,18.9,,6612.501194,,23.5,2.0,8.600000000000001,20.21,3.0,No,1.0499999999999998,35.0,2591.824
train_00049,Thrusday,rainy,9.58,82.37,5.0,47.07,1.741,32.17,,6956.936586000001,19.0,22.6,44.0,501.6000000000001,21.47,3.0,Yes,1.02,34.0,1745.213
train_00050,Wednesday,rainy,10.08,91.05,4.0,46.09,1.823,28.25,15.0,6670.264634000002,19.0,19.2,79.0,1185.0,44.55,7.0,No,2.17,,1099.983
train_00051,Friday,windy,23.87,33.8,5.0,45.41,1.689,30.87,3.700000000000001,6474.8938339999995,23.0,19.3,11.0,40.70000000000001,,,No,,35.0,3418.521
train_00052,Saturday,cloudy,10.32,90.6,4.0,49.04,1.585,19.96,,7551.453824,21.0,29.4,17.0,275.4,22.24,5.0,No,1.6,32.0,579.238
train_00053,Monday,overcast,11.02,45.06,12.0,38.8,1.427,13.19,15.0,4727.0815999999995,,27.2,39.0,585.0,24.86,2.0,No,0.6,30.0,1240.299
train_00054,Wednesday,cloudy,9.83,81.37,6.0,40.3,1.304,9.57,6.4,5099.6426,17.0,20.8,14.0,89.60000000000001,26.75,,Yes,0.31,31.0,388.427
train_00055,Thrusday,haze,11.67,30.38,8.0,45.54,2.328,23.23,14.8,6512.019624,20.0,19.0,79.0,1169.2,29.86,7.0,No,2.17,31.0,4161.233
train_00056,Saturday,rainy,15.9,82.0,7.0,38.27,1.707,14.32,14.2,,,19.4,74.0,1050.8,29.88,6.0,Yes,2.2199999999999998,37.0,1888.033
train_00057,Tuesday,cloudy,13.8,73.48,6.0,45.79,1.428,28.38,11.399999999999999,,18.0,22.2,23.0,262.2,20.34,4.0,Yes,1.32,33.0,1563.433
train_00058,,cloudy,10.78,72.89,8.0,49.32,1.434,,9.2,7637.931936,21.0,19.2,25.0,229.99999999999997,35.48,11.0,Yes,,37.0,1373.323
train_00059,Saturday,storm,47.19,78.38,14.0,49.58,1.858,24.49,12.6,7718.673895999999,0.0,14.6,90.0,1134.0,40.98,9.0,Yes,4.2299999999999995,47.0,1414.127
train_00060,,cloudy,,,,41.97,1.435,4.65,5.5,5531.050026,21.0,20.3,13.0,71.5,24.51,2.0,Yes,0.7,35.0,206.418
train_00061,Monday,haze,7.08,29.89,9.0,44.03,2.372,1.48,17.5,6087.332426,22.0,23.3,71.0,1242.5,27.68,4.0,No,1.24,31.0,1110.848
train_00062,Sunday,windy,24.16,40.66,7.0,,1.751,,5.799999999999999,6440.718073999999,24.0,17.4,21.0,121.79999999999998,30.65,,No,1.52,38.0,3946.905
train_00063,Monday,windy,22.61,18.34,5.0,41.85,1.624,8.23,4.4,5499.466650000001,23.0,20.0,11.0,48.400000000000006,27.17,9.0,,3.33,,1416.578
train_00064,,windy,16.88,14.12,3.0,42.69,1.661,3.71,9.3,5722.449354,22.0,20.1,23.0,213.9,29.16,3.0,No,1.1400000000000001,38.0,514.485
train_00065,Monday,haze,,,4.0,46.25,2.057,20.04,18.5,6716.65625,24.0,23.5,,1387.5,23.97,3.0,No,1.08,36.0,381.875
train_00066,Monday,,10.53,86.86,4.0,49.53,1.564,27.43,11.600000000000001,,20.0,25.6,15.0,174.00000000000003,24.14,4.0,No,1.56,39.0,955.928
train_00067,Thrusday,haze,11.37,33.56,14.0,,2.16,18.83,15.700000000000001,7001.347176,20.0,18.3,87.0,1365.9,37.0,6.0,No,2.2199999999999998,37.0,3957.89
train_00068,Sunday,cloudy,10.76,86.44,4.0,49.54,1.516,22.05,5.800000000000001,7706.224424,18.0,21.0,12.0,69.60000000000001,24.92,4.0,No,1.4,35.0,580.564
train_00069,Friday,cloudy,8.21,91.77,6.0,,1.554,34.68,9.6,6566.4713059999995,23.0,22.0,,182.4,20.58,1.0,Yes,,38.0,2511.635
train_00070,Friday,rainy,10.76,84.04,6.0,48.47,1.412,31.24,19.200000000000003,7376.930425999999,19.0,23.8,77.0,1478.4000000000003,29.82,7.0,No,2.24,32.0,1569.356
train_00071,Sunday,,10.54,47.73,14.0,44.61,1.433,17.98,22.3,6248.763594,24.0,34.5,39.0,869.7,16.35,2.0,No,,31.0,2075.473
train_00072,Wednesday,rainy,12.67,86.64,6.0,39.63,1.898,10.93,,4931.485866000001,,24.3,60.0,978.0,,4.0,No,1.28,32.0,1007.714
train_00073,Monday,haze,11.0,20.46,14.0,,1.957,28.23,17.4,6474.8938339999995,18.0,19.2,91.0,1583.3999999999999,44.61,,No,,35.0,5432.329
train_00074,Friday,windy,26.99,16.87,4.0,36.36,1.726,8.88,7.5,,24.0,17.5,25.0,187.5,41.57,7.0,Yes,3.08,44.0,1960.564
train_00075,Monday,rainy,11.95,83.89,3.0,40.48,,,,5145.299455999999,16.0,19.2,,335.4,31.43,6.0,Yes,1.92,32.0,240.894
train_00076,Saturday,windy,27.25,13.33,7.0,37.0,1.695,16.39,9.799999999999999,4298.66,22.0,23.4,16.0,,21.47,8.0,Yes,3.44,43.0,4791.216
train_00077,Friday,clear,12.48,8.03,7.0,,1.157,33.47,,7483.852136,23.0,20.6,8.0,30.400000000000006,20.1,11.0,No,4.07,37.0,4613.283
train_00078,Friday,clear,8.42,2.34,8.0,44.56,1.209,13.68,11.399999999999999,6234.763904000001,20.0,,8.0,91.19999999999999,29.54,9.0,No,3.15,35.0,1075.809
train_00079,Friday,,10.41,65.73,11.0,48.1,1.5,35.31,16.200000000000003,7264.735400000001,19.0,29.6,33.0,534.6000000000001,27.36,11.0,Yes,4.18,38.0,4232.138
train_00080,,windy,26.63,35.39,3.0,45.77,1.74,34.45,8.700000000000001,,22.0,20.3,21.0,182.70000000000002,26.22,8.0,Yes,3.52,44.0,3824.775
train_00081,,rainy,13.47,83.02,8.0,,1.638,,13.5,3901.6462500000002,20.0,23.7,49.0,661.5,29.5,8.0,No,3.12,39.0,2180.096
train_00082,Friday,clear,,3.8,,45.57,1.127,30.03,9.8,6520.602186,22.0,,7.0,68.60000000000001,27.89,6.0,Yes,1.98,33.0,2410.512
train_00083,Sunday,haze,2.21,13.65,12.0,47.21,2.397,20.15,15.899999999999999,,20.0,20.7,76.0,1208.3999999999999,23.6,8.0,Yes,3.04,38.0,1208.847
train_00084,,clear,,1.11,5.0,49.76,1.174,25.78,11.0,,24.0,28.2,7.0,77.0,,9.0,Yes,3.33,37.0,2170.958
train_00085,Monday,haze,11.38,11.37,4.0,46.16,2.326,,22.3,6690.541183999999,19.0,23.7,93.0,2073.9,29.09,8.0,Yes,2.8,35.0,2702.543
train_00086,,rainy,15.31,91.07,8.0,47.95,1.704,18.47,,7219.495850000001,19.0,20.3,74.0,1117.4,24.47,3.0,No,0.9299999999999999,,1698.242
train_00087,Friday,rainy,14.08,85.5,8.0,44.11,1.512,6.9,13.5,6109.473194,20.0,19.3,,958.5,33.23,4.0,,1.24,31.0,903.06
train_00088,Sunday,rainy,12.27,89.5,8.0,46.79,1.527,23.42,12.799999999999999,6874.414874,18.0,20.2,63.0,806.4,23.55,11.0,No,3.3,30.0,1493.992
train_00089,,haze,11.17,28.07,12.0,37.8,2.222,,20.3,4486.557599999999,19.0,21.5,94.0,,25.27,,No,2.73,39.0,2997.423
train_00090,Friday,rainy,8.69,95.56,3.0,,1.593,13.9,16.2,5512.6154,16.0,21.0,76.0,,29.0,6.0,Yes,1.92,32.0,268.913
train_00091,Saturday,windy,,18.43,7.0,35.56,1.558,17.56,,3970.5727040000006,22.0,21.3,23.0,241.5,26.64,3.0,No,1.44,48.0,3485.814
train_00092,Thrusday,windy,17.33,,,47.77,,28.8,6.699999999999999,7165.394906000001,23.0,17.9,22.0,147.39999999999998,43.04,1.0,,0.36,36.0,1828.981
train_00093,Thrusday,clear,9.53,4.49,3.0,38.88,1.467,8.4,6.600000000000001,4746.594816000001,23.0,23.0,9.0,59.40000000000001,,,Yes,0.6,,449.311
train_00094,Friday,clear,12.22,9.84,4.0,48.49,1.043,20.7,6.799999999999997,7383.0195140000005,,24.4,6.0,40.79999999999998,20.04,2.0,Yes,0.68,34.0,950.788
train_00095,Sunday,overcast,5.35,56.5,8.0,,,21.96,16.900000000000002,7815.497994000001,22.0,,27.0,456.30000000000007,23.44,8.0,No,2.72,34.0,665.994
train_00096,Monday,cloudy,12.83,78.46,6.0,48.12,,21.95,13.100000000000001,7270.778015999999,18.0,28.3,12.0,157.20000000000002,20.93,4.0,Yes,1.56,,1210.954
train_00097,Thrusday,,2.76,12.74,13.0,46.07,2.202,22.32,20.7,6664.476986000001,19.0,21.9,,1945.8,28.47,6.0,Yes,1.8599999999999999,31.0,1345.163
train_00098,Tuesday,cloudy,12.53,70.44,4.0,49.87,1.509,28.03,8.5,7809.233066,21.0,21.3,18.0,153.0,21.68,1.0,No,0.35,35.0,1037.101
train_00099,Tuesday,clear,11.94,5.54,3.0,49.29,1.297,20.51,6.0,7628.642874,23.0,24.0,5.0,30.0,29.34,7.0,,2.3800000000000003,34.0,881.689
train_00100,Monday,cloudy,9.62,92.23,7.0,35.09,1.3,,13.3,,21.0,28.1,13.0,172.9,29.32,6.0,No,2.04,34.0,477.758
train_00101,,haze,8.81,28.78,11.0,35.21,2.336,16.44,19.700000000000003,3892.7964740000007,24.0,,88.0,1733.6000000000004,21.68,1.0,Yes,0.33,33.0,4944.146
train_00102,Sunday,clear,15.11,6.8,6.0,49.62,1.057,30.86,,7731.133416,23.0,26.2,,6.599999999999998,24.59,8.0,Yes,,31.0,2932.397
train_00103,Sunday,haze,4.68,21.78,11.0,,1.932,29.48,20.7,7718.673895999999,20.0,23.3,87.0,1800.8999999999999,20.38,2.0,Yes,0.66,,2589.871
